REMOVE11a,REMOVE11b,PLAYER_ID,PLAYER,Putting_AVG,REMOVE11c,REMOVE11d,Putting_Birdie_Conversions
115,5,36884,Ben Kohles,1.771,1176,664,28.21%
115,5,39546,Keith Mitchell,1.771,1289,728,33.24%
115,-3,49960,Sepp Straka,1.771,1364,770,28.52%
115,-1,48887,Matt Wallace,1.771,1135,641,30.83%
121,4,32102,Rickie Fowler,1.772,1308,738,29.85%
121,-33,32839,Hideki Matsuyama,1.772,1283,724,29.94%
123,4,45157,Cam Davis,1.773,1234,696,32.37%
123,-22,29908,C.T. Pan,1.773,961,542,27.64%
125,0,32367,Jorge Campillo,1.774,1011,570,30.28%
125,-6,31323,Gary Woodland,1.774,1116,629,31.10%
127,2,55708,Hayden Buckley,1.775,1074,605,29.47%
127,2,59095,Chris Gotterup,1.775,1079,608,30.48%
127,2,34563,Chesson Hadley,1.775,925,521,30.33%
127,2,28252,Seamus Power,1.775,1376,775,29.88%
127,-7,47347,Adam Schenk,1.775,1406,792,31.44%
127,2,29221,Webb Simpson,1.775,804,453,29.27%
133,1,28775,Nate Lashley,1.776,897,505,30.02%
133,1,33486,Roger Sloan,1.776,858,483,29.11%
133,1,39324,J.J. Spaun,1.776,1064,599,30.88%
136,1,24024,Zach Johnson,1.777,766,431,29.47%
137,-17,48117,Kurt Kitayama,1.778,1291,726,29.92%
138,0,27129,Luke List,1.779,1126,633,31.44%
139,1,52375,Doug Ghim,1.780,1180,663,28.74%
139,1,26476,Chez Reavie,1.780,954,536,27.80%
141,1,27936,Martin Laird,1.781,953,535,28.09%
141,-3,27349,Alex Noren,1.781,1341,753,28.99%
141,-14,48153,Matthieu Pavon,1.781,1065,598,29.93%
141,1,46340,Alex Smalley,1.781,942,529,29.28%
145,-1,48119,Ben Taylor,1.782,736,413,26.34%
146,-1,59442,Parker Coody,1.784,1051,589,28.18%
146,-1,55454,Carl Yuan,1.784,883,495,29.07%
148,0,26596,Ryan Moore,1.787,1092,611,26.64%
149,0,34076,Joel Dahmen,1.788,1318,737,28.77%
149,0,54628,Lee Hodges,1.788,1407,787,27.70%
151,0,35310,Lanto Griffin,1.790,1006,562,30.29%
152,0,32070,Rafael Campos,1.793,839,468,30.47%
153,1,51600,Jimmy Stanger,1.796,747,416,30.84%
154,1,34255,Joseph Bramlett,1.797,1141,635,29.81%
154,1,52372,Cameron Champ,1.797,726,404,29.03%
154,1,27770,Camilo Villegas,1.797,769,428,28.27%
157,0,24980,Scott Gutschewski,1.798,651,362,25.00%
157,-4,52453,Nicolai Højgaard,1.798,1158,644,29.19%
157,1,48699,Callum Tarren,1.798,951,529,29.73%
160,-1,47663,Kevin Dougherty,1.800,891,495,29.96%
161,-1,29478,Kevin Kisner,1.801,706,392,26.85%
161,-1,40115,Adam Svensson,1.801,1592,884,28.04%
163,-1,34374,Erik Barnes,1.803,804,446,27.80%
163,-1,48319,Tom Whitney,1.803,925,513,28.38%
165,-1,36326,David Lipsky,1.804,985,546,27.26%
166,-1,36871,Matt NeSmith,1.807,1117,618,25.61%
167,-1,45609,Tyler Duncan,1.808,953,527,25.52%
167,-1,47988,Nick Hardy,1.808,1271,703,29.49%
167,-1,23320,Ryan Palmer,1.808,745,412,28.47%
170,-1,28420,Ryan Brehm,1.809,816,451,27.39%
170,-1,54576,Patrick Fishburn,1.809,870,481,28.13%
172,-3,47483,Will Zalatoris,1.811,1076,594,28.33%
173,-1,40026,Daniel Berger,1.812,993,548,27.42%
174,-1,27649,Brandt Snedeker,1.813,852,470,27.23%
175,-1,45242,Kevin Yu,1.814,1188,655,28.40%
176,-1,51890,Greyson Sigg,1.822,1186,651,24.27%
177,-1,37212,Paul Barjon,1.828,700,383,29.50%
178,-1,51070,Vincent Norrman,1.863,1030,553,23.33%
